date,ticker,priority,signal_role,rank_eligible,score_mode,universe,rotation_group,level,exposure,sector,industry_theme,primary_benchmark,parent_benchmark,paired_ticker,pair_type,data_status,bars_available,close,volume,dollar_volume,relative_dollar_volume,return_20,return_63,rs20,rs63,parent_rs20,parent_rs63,pair_spread_20,pair_spread_63,signal_rs20,signal_rs63,pair_signal_raw,pair_signal_confirmed,pair_signal,cmf20,obv_change_20,sma50,sma200,position_52w,trend_score,rotation_score,group_rank,group_size,group_percentile,score_change_5,score_change_10,score_change_20,score_change_63,rank_change_5,rank_change_20,rs20_change_5,rs63_change_20,days_leader_zone_20,leader_zone_streak,days_top_quartile_20,top_quartile_streak,consecutive_improving_days,rotation_state_raw,rotation_state_confirmed,rotation_state,confirmed_state_age,pending_rotation_state,pending_state_days,state_confirmation_bars,confirmed_pair_signal_age,pending_pair_signal,pending_pair_signal_days,pair_confirmation_bars,score_formula_version
2026-08-12,IXUS,EXTENDED,CONFIRMATION,False,REFERENCE,EX_US,EXUS_BROAD,broad,"Total international, all-cap",,,ACWX,ACWX,,,READY,502,97.705002,948804.000000,92702896.557312,0.612966,0.029341,0.045987,-0.000555,-0.005833,-0.000555,-0.005833,,,-0.000555,-0.005833,,,,-0.081954,-4764808.000000,94.808369,89.081697,1.000000,1.000000,,,,,,,,,,,0.000358,-0.002464,0,0,0,0,0,REFERENCE,REFERENCE,REFERENCE,1,,0,3,0,,0,3,v1.1
2026-08-12,VEU,EXTENDED,CONFIRMATION,False,REFERENCE,EX_US,EXUS_BROAD,broad,"All-world ex-US, large/mid",,,ACWX,ACWX,,,READY,502,85.485001,2355098.000000,201325553.967438,0.885314,0.028329,0.045979,-0.001566,-0.005840,-0.001566,-0.005840,,,-0.001566,-0.005840,,,,-0.055458,-10523927.000000,83.106028,77.971910,1.000000,1.000000,,,,,,,,,,,0.002270,-0.004901,0,0,0,0,0,REFERENCE,REFERENCE,REFERENCE,1,,0,3,0,,0,3,v1.1
2026-08-12,VXUS,EXTENDED,CONFIRMATION,False,REFERENCE,EX_US,EXUS_BROAD,broad,"Total international, all-cap",,,ACWX,ACWX,,,READY,502,87.464996,4282520.000000,374570596.116943,0.900243,0.029121,0.043080,-0.000774,-0.008739,-0.000774,-0.008739,,,-0.000774,-0.008739,,,,-0.042521,-8359680.000000,84.949803,79.911595,1.000000,1.000000,,,,,,,,,,,0.001407,-0.003552,0,0,0,0,0,REFERENCE,REFERENCE,REFERENCE,1,,0,3,0,,0,3,v1.1
2026-08-12,GREK,EXTENDED,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Greece,,,ACWX,FEZ,,,READY,502,82.103600,64000.000000,5254630.371094,0.700875,0.075077,0.149754,0.045181,0.097934,0.025742,0.043890,,,0.045181,0.097934,,,,0.106456,645390.000000,76.862975,69.805772,0.992189,1.000000,88.414634,1.000000,41.000000,100.000000,11.951220,8.048780,21.341463,27.439024,4.000000,9.000000,-0.005662,0.073449,12,3,12,3,3,EMERGING,WEAKENING,WEAKENING,29,EMERGING,1,3,0,,0,3,v1.1
2026-08-12,EPOL,EXTENDED,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Poland,,,ACWX,VGK,,,READY,502,44.564999,255725.000000,11396384.273815,0.582036,0.085627,0.155329,0.055732,0.103510,0.051684,0.083121,,,0.055732,0.103510,,,,0.046033,2494250.000000,40.673780,37.207496,1.000000,1.000000,81.341463,2.000000,41.000000,97.560976,-5.000000,6.463415,22.439024,22.682927,1.000000,14.000000,-0.015612,0.111933,16,12,16,12,0,PERSISTENT_LEADER,PERSISTENT_LEADER,PERSISTENT_LEADER,6,,0,3,0,,0,3,v1.1
2026-08-12,EWP,EXTENDED,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Spain,,,ACWX,FEZ,,,READY,502,62.730000,362207.000000,22721244.944195,1.087308,0.052517,0.129421,0.022622,0.077602,0.003182,0.023557,,,0.022622,0.077602,,,,-0.010949,2376445.000000,59.339538,54.928923,1.000000,1.000000,80.731707,3.000000,41.000000,95.121951,12.682927,32.560976,17.926829,38.902439,9.000000,10.000000,-0.008166,0.071868,11,1,11,1,1,EMERGING,WEAKENING,WEAKENING,16,EMERGING,1,3,0,,0,3,v1.1
2026-08-12,EWD,EXTENDED,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Sweden,,,ACWX,VGK,,,READY,502,52.415001,725928.000000,38049516.784607,2.208332,0.039568,0.058082,0.009672,0.006263,0.005625,-0.014126,,,0.009672,0.006263,,,,0.146095,-3184477.000000,50.734855,49.578336,0.977709,1.000000,80.121951,4.000000,41.000000,92.682927,9.512195,18.536585,24.634146,48.780488,6.000000,19.000000,-0.037439,0.074587,6,3,6,3,1,EMERGING,EMERGING,EMERGING,1,,0,3,0,,0,3,v1.1
2026-08-12,EWS,CORE,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Singapore,,,ACWX,VPL,,,READY,502,33.680000,830608.000000,27974877.693481,0.746815,0.049548,0.183124,0.019653,0.131304,0.013971,0.151430,,,0.019653,0.131304,,,,-0.024024,1570374.000000,30.782874,28.471149,0.992925,1.000000,79.512195,5.000000,41.000000,90.243902,5.000000,-10.853659,-15.365854,17.926829,1.000000,-4.000000,0.003781,0.049807,20,28,20,28,0,REACCELERATING,WEAKENING,WEAKENING,5,REACCELERATING,1,3,0,,0,3,v1.1
2026-08-12,EWI,EXTENDED,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Italy,,,ACWX,FEZ,,,READY,502,63.139999,482332.000000,30454442.185608,0.984545,0.038316,0.093882,0.008421,0.042063,-0.011019,-0.011981,,,0.008421,0.042063,,,,0.074504,-2551445.000000,60.290469,55.448673,0.996685,1.000000,75.487805,6.000000,41.000000,87.804878,2.073171,8.170732,9.390244,4.878049,1.000000,5.000000,-0.015774,0.012182,18,16,18,16,0,PERSISTENT_LEADER,PERSISTENT_LEADER,PERSISTENT_LEADER,6,,0,3,0,,0,3,v1.1
2026-08-12,EIRL,EXTENDED,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Ireland,,,ACWX,VGK,,,READY,502,82.410004,3212.000000,264700.931763,0.624548,0.035171,0.135934,0.005276,0.084115,0.001229,0.063726,,,0.005276,0.084115,,,,0.312096,61914.000000,78.620083,72.958071,0.996734,1.000000,75.365854,7.000000,41.000000,85.365854,12.682927,9.268293,-0.731707,17.439024,8.000000,-3.000000,0.006697,0.025435,13,4,13,4,0,NEUTRAL,ACCELERATING,ACCELERATING,2,NEUTRAL,1,3,0,,0,3,v1.1
2026-08-12,EWQ,EXTENDED,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,France,,,ACWX,FEZ,,,READY,502,47.494999,159436.000000,7572412.649704,0.571093,0.044535,0.078006,0.014640,0.026186,-0.004800,-0.027858,,,0.014640,0.026186,,,,0.113904,2049642.000000,45.602457,44.357576,0.991545,1.000000,72.682927,8.000000,41.000000,82.926829,1.219512,9.390244,11.341463,22.439024,0.000000,7.000000,-0.016756,0.061124,10,8,10,8,0,PERSISTENT_LEADER,PERSISTENT_LEADER,PERSISTENT_LEADER,1,,0,3,0,,0,3,v1.1
2026-08-12,EWO,EXTENDED,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Austria,,,ACWX,FEZ,,,READY,502,44.000000,18222.000000,801768.000000,0.188398,0.040681,0.136370,0.010786,0.084550,-0.008654,0.030506,,,0.010786,0.084550,,,,0.320652,-31718.000000,42.039424,37.079078,0.994126,1.000000,71.463415,9.000000,41.000000,80.487805,-15.975610,24.268293,14.024390,12.926829,-7.000000,9.000000,-0.011996,0.030665,11,2,11,2,3,NEUTRAL,WEAKENING,WEAKENING,19,NEUTRAL,1,3,0,,0,3,v1.1
